ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP200107092249,46.176896,7.609391,6.223,613186,113951,-6223.0,2001,7,9,22,50,2.7,3.2,0,276,42,-72,72,50,-106,283,77,173,4,2,NF
KP200107171506,46.666,11.094,10.0,879644,174825,-10000.0,2001,7,17,15,6,14.5,5.0,0,118,89,175,208,85,1,163,3,73,4,9,SS
KP200110010636,46.560781,10.349338,5.187,823139,160751,-5187.0,2001,10,1,6,36,22.5,4.2,0,146,59,-72,293,36,-117,96,70,223,12,9,NF
KP200201101927,47.580999,9.067,23.344,722499,271304,-23344.0,2002,1,10,19,27,26.0,3.1,0,312,68,-158,213,70,-24,172,31,263,1,1,SS
KP200204291513,46.099743,8.475233,21.713,680160,105889,-21713.0,2002,4,29,15,14,9.6,3.8,0,170,68,-31,273,61,-154,129,37,223,4,2,ON
KP200205311649,46.317468,7.350275,4.135,593193,129567,-4135.0,2002,5,31,16,50,33.7,3.5,0,46,24,-94,231,66,-88,145,69,319,21,1,NF
KP200212092241,45.967437,7.934093,8.995,638407,90772,-8995.0,2002,12,9,22,41,55.7,2.7,1,318,76,-20,53,71,-165,275,24,6,4,1,SS
KP200302042049,46.058995,7.770226,6.739,625661,100884,-6739.0,2003,2,4,20,49,41.2,3.3,0,91,40,-106,292,52,-77,252,78,13,6,1,NF
KP200303221336,48.269254,8.994728,8.458,715545,347717,-8458.0,2003,3,22,13,36,15.1,4.4,0,290,79,172,22,82,11,156,2,246,13,9,SS
KP200304290454,46.338523,7.570554,8.539,610156,131912,-8539.0,2003,4,29,4,55,9.4,3.9,0,67,48,138,188,60,50,305,7,45,55,1,OT
KP200305062159,46.913174,8.905786,3.26,711761,196830,-3260.0,2003,5,6,21,59,43.8,4.0,0,264,74,-169,171,79,-16,127,19,218,3,1,SS
KP200307170226,46.729849,9.827686,4.687,782590,178185,-4687.0,2003,7,17,2,27,17.3,3.6,0,100,43,-144,342,66,-53,297,53,46,14,9,ON
KP200307181101,46.733513,9.829724,5.488,782733,178597,-5488.0,2003,7,18,11,1,36.1,3.9,0,105,44,-127,331,56,-60,296,64,40,7,1,ON
KP200308010320,46.730819,9.832379,5.488,782945,178304,-5488.0,2003,8,1,3,20,23.7,3.9,0,99,43,-146,342,67,-52,297,52,46,14,9,ON
KP200308220921,46.315824,7.320047,3.71,590865,129387,-3710.0,2003,8,22,9,21,32.5,3.9,0,151,54,-27,258,68,-141,120,43,22,8,1,SS
KP200308220929,46.316896,7.315968,3.939,590551,129507,-3939.0,2003,8,22,9,30,9.6,3.6,0,148,58,-2,239,88,-148,108,23,9,20,9,SS
KP200308310538,47.53234,7.893641,17.202,634264,264722,-17202.0,2003,8,31,5,38,58.0,2.9,0,292,82,-172,201,82,-8,156,11,246,0,1,SS
KP200310010730,47.226284,9.201183,7.787,733477,232094,-7787.0,2003,10,1,7,31,5.4,3.0,0,102,78,-172,10,82,-12,326,14,57,3,1,SS
KP200402181431,46.601806,6.981338,2.064,564961,161274,-2064.0,2004,2,18,14,31,58.4,3.3,0,70,60,-155,327,69,-32,286,38,20,5,1,SS
KP200402231731,47.271321,6.280863,14.896,512393,236250,-14896.0,2004,2,23,17,31,21.3,4.8,0,47,47,24,300,73,134,359,16,253,44,1,SS
KP200404151514,47.518973,8.733819,10.809,697551,263941,-10809.0,2004,4,15,15,14,58.7,2.7,0,203,70,-7,295,83,-160,161,19,68,9,1,SS
KP200404180320,47.63192,9.66223,28.846,767106,278063,-28846.0,2004,4,18,3,21,5.8,3.0,0,215,90,0,125,90,180,170,0,80,0,1,SS
KP200404180823,47.682083,8.906548,20.959,710220,282304,-20959.0,2004,4,18,8,23,35.2,2.6,0,116,56,-139,360,57,-42,327,51,58,1,1,ON
KP200405300945,46.290841,7.183645,7.72,580349,126635,-7720.0,2004,5,30,9,46,17.8,2.9,1,347,89,-1,77,89,-179,302,1,32,0,2,SS
KP200406120444,45.72109,6.921041,4.823,559694,63399,-4823.0,2004,6,12,4,44,34.1,3.3,0,104,80,-6,195,84,-170,60,11,329,3,2,SS
KP200406212309,47.497788,7.703588,20.533,619965,260815,-20533.0,2004,6,21,23,10,2.5,3.8,0,182,53,-41,300,58,-135,154,53,60,3,1,ON
KP200406282342,47.516879,8.170351,18.973,655116,263161,-18973.0,2004,6,28,23,42,30.3,4.0,0,202,48,-12,300,81,-137,170,36,64,21,1,SS
KP200411081152,47.708589,8.524159,21.95,681469,284784,-21950.0,2004,11,8,11,52,41.0,2.8,0,298,70,-170,205,81,-20,160,21,253,7,1,SS
KP200411242259,45.562,10.625,10.0,848771,50632,-10000.0,2004,11,24,22,59,36.5,5.3,0,58,58,90,237,32,89,148,13,330,77,9,TF
KP200412050152,48.090875,8.033642,12.457,644335,326900,-12457.0,2004,12,5,1,52,39.0,5.1,0,108,80,-169,16,79,-10,332,15,242,1,9,SS
KP200505120137,47.265493,7.65689,24.172,616518,234977,-24172.0,2005,5,12,1,38,5.8,4.1,0,98,63,172,192,83,27,322,13,58,24,1,SS
KP200505271722,47.057586,9.517038,6.708,757888,213931,-6708.0,2005,5,27,17,22,45.1,2.9,0,189,75,19,94,72,164,321,2,52,24,2,SS
KP200509081126,46.034979,6.875405,6.685,556391,98317,-6685.0,2005,9,8,11,27,17.8,4.9,1,60,65,-179,330,89,-25,282,18,18,17,1,SS
KP200511121930,47.517023,8.169505,18.641,655052,263176,-18641.0,2005,11,12,19,31,16.6,4.1,0,206,48,-34,320,65,-133,182,50,79,10,1,ON
KP200603290949,46.912817,6.859702,1.786,555897,195909,-1786.0,2006,3,29,9,49,46.6,3.2,0,355,86,-2,85,88,-176,310,4,220,1,1,SS
KP200604122224,46.607688,10.262753,3.285,816317,165719,-3285.0,2006,4,12,22,24,53.1,3.5,0,293,32,-130,158,66,-68,103,62,232,18,1,ON
KP200612081648,47.58796,7.595806,5.516,611824,270819,-5516.0,2006,12,8,16,48,39.1,3.4,1,105,77,-165,12,75,-13,329,20,238,2,1,SS
KP200701060719,47.586542,7.598792,4.995,612049,270662,-4995.0,2007,1,6,7,19,52.2,3.1,0,91,79,-176,360,86,-11,315,11,46,5,1,SS
KP200707120009,46.942567,8.769574,0.489,701330,199912,-489.0,2007,7,12,0,9,33.1,3.0,0,76,82,-178,346,88,-8,301,7,31,4,1,SS
KP200801211640,46.771455,9.456504,7.174,754109,182012,-7174.0,2008,1,21,16,40,35.9,4.0,1,87,81,-127,345,38,-15,322,42,205,27,1,ON
KP200802171241,45.917439,7.14509,1.814,577222,85136,-1814.0,2008,2,17,12,41,31.5,3.6,0,2,46,169,100,82,45,223,23,331,36,2,SS
KP200804170107,46.670529,10.107403,6.845,804184,172284,-6845.0,2008,4,17,1,7,36.9,3.2,0,135,65,-83,299,26,-105,59,69,220,20,1,NF
KP200807140351,45.655035,10.504967,5.693,839000,60593,-5693.0,2008,7,14,3,51,41.1,3.6,0,69,74,94,234,17,76,156,29,345,61,9,TF
KP200811090722,46.80509,9.203158,6.603,734680,185284,-6603.0,2008,11,9,7,22,31.7,3.7,0,163,58,-1,254,89,-148,123,23,24,21,1,SS
KP200812130602,46.512688,10.074357,1.41,802247,154662,-1410.0,2008,12,13,6,2,24.4,3.2,1,169,80,-3,260,87,-170,125,9,34,5,1,SS
KP200901041530,47.186176,9.374047,3.762,746676,227945,-3762.0,2009,1,4,15,30,30.3,4.1,0,99,54,155,204,70,39,328,10,67,41,1,SS
KP200901170709,47.153612,9.536746,3.561,759100,224643,-3561.0,2009,1,17,7,9,58.0,3.0,1,329,66,-72,110,30,-125,270,64,45,19,1,NF
KP200905050139,47.670313,7.752153,10.351,623548,280011,-10351.0,2009,5,5,1,39,25.4,4.2,0,104,76,172,196,82,14,329,4,61,16,1,SS
KP200909110634,46.538285,9.700345,8.902,773474,156610,-8902.0,2009,9,11,6,34,38.7,3.6,1,104,53,-115,322,44,-61,315,70,211,5,1,NF
KP200910211610,46.136384,6.725492,3.58,544887,109684,-3580.0,2009,10,21,16,10,58.8,3.1,0,58,58,162,158,75,33,285,11,22,34,1,SS
KP201005150509,46.157654,7.717738,6.647,621560,111835,-6647.0,2010,5,15,5,9,44.2,3.4,0,320,40,-48,90,61,-119,314,62,201,12,1,ON
KP201006071319,46.421025,8.581502,7.727,687857,141714,-7727.0,2010,6,7,13,19,27.6,2.7,0,73,55,-135,313,55,-45,283,55,193,0,2,ON
KP201010252000,47.259277,9.563824,3.017,760834,236441,-3017.0,2010,10,25,20,0,31.1,3.0,0,250,60,108,37,35,62,327,13,198,69,1,TF
KP201101082048,46.307798,7.506309,4.861,605213,128490,-4861.0,2011,1,8,20,48,17.6,3.3,1,278,78,-133,175,44,-17,148,41,39,21,1,ON
KP201101082220,46.307649,7.50534,4.765,605138,128474,-4765.0,2011,1,8,22,20,26.6,3.2,1,268,85,-141,174,51,-6,138,30,34,22,1,ON
KP201101270124,47.499726,9.852825,27.948,781877,263795,-27948.0,2011,1,27,1,24,18.6,3.3,0,37,89,3,307,87,179,172,1,262,3,1,SS
KP201104211136,46.723928,8.010832,6.202,643743,174907,-6202.0,2011,4,21,11,36,38.7,2.9,0,352,61,41,239,55,144,114,4,208,48,1,OT
KP201110290413,45.729938,10.874479,14.259,867419,70107,-14259.0,2011,10,29,4,13,34.6,4.2,0,56,66,57,294,40,140,170,14,282,56,9,OT
KP201112030832,46.67326,9.970589,8.252,793711,172240,-8252.0,2011,12,3,8,32,52.1,2.8,0,291,42,-120,149,55,-66,114,69,222,7,1,NF
KP201112270628,47.330863,7.316581,11.423,590775,242230,-11423.0,2011,12,27,6,29,2.0,3.1,0,94,70,150,195,62,23,146,5,52,35,1,OT
KP201201020142,46.698517,9.747351,4.277,776554,174520,-4277.0,2012,1,2,1,42,57.7,3.5,1,130,37,-103,327,54,-80,274,78,50,8,1,NF
KP201201242354,45.516,10.887,2.0,869439,46388,-2000.0,2012,1,24,23,54,45.5,4.4,0,113,64,-180,23,90,-26,335,18,71,18,9,SS
KP201202112245,47.144314,8.547981,27.498,684144,222076,-27498.0,2012,2,11,22,45,27.3,4.2,0,308,68,-160,210,72,-23,168,29,260,2,1,SS
KP201202240032,47.143364,8.545194,26.816,683934,221968,-26816.0,2012,2,24,0,32,30.4,3.5,0,294,78,-164,201,74,-12,158,20,67,3,1,SS
KP201206280909,47.48119,9.379145,5.171,746251,260744,-5171.0,2012,6,28,9,10,13.5,2.1,0,314,68,-157,215,69,-24,174,31,265,1,2,SS
KP201209040513,46.944759,8.461397,8.253,677866,199804,-8253.0,2012,9,4,5,13,24.9,2.9,0,6,87,1,276,89,177,321,1,231,3,1,SS
KP201210250110,46.039014,6.884884,4.781,557128,98760,-4781.0,2012,10,25,1,10,57.6,3.63,1,63,65,-179,333,89,-25,285,18,21,17,1,SS
KP201304062315,46.167126,7.392275,6.743,596418,112851,-6743.0,2013,4,6,23,15,29.4,2.71,0,64,47,-140,304,62,-51,265,55,7,9,1,ON
KP201306080306,47.766531,7.873788,21.972,632625,290754,-21972.0,2013,6,8,3,6,5.2,2.62,0,315,75,-149,216,60,-17,179,32,83,10,1,ON
KP201307031413,47.329009,7.387703,24.582,596151,242017,-24582.0,2013,7,3,14,13,50.6,3.19,0,315,55,-135,195,55,-45,165,55,255,0,2,ON
KP201307200040,47.422365,9.320573,4.084,741994,254098,-4083.9999999999995,2013,7,20,0,40,41.2,2.14,2,120,73,176,211,86,17,344,9,77,15,2,SS
KP201307200330,47.421985,9.320744,4.027,742008,254056,-4027.0,2013,7,20,3,30,55.2,3.51,2,124,72,-174,32,84,-18,347,17,79,8,1,SS
KP201308091044,47.24681,11.49166,8.741,906704,240803,-8741.0,2013,8,9,10,44,8.2,3.37,0,120,45,152,231,70,48,350,15,97,47,9,SS
KP201311032142,47.330154,8.253684,25.039,661608,242463,-25039.0,2013,11,3,21,42,44.3,2.71,0,285,83,176,15,86,7,150,2,240,8,2,SS
KP201312120059,47.074312,9.502508,7.225,756736,215761,-7225.0,2013,12,12,0,59,19.1,4.09,1,94,59,-171,359,82,-31,312,27,51,16,2,SS
KP201312270708,47.074744,9.506052,7.08,757004,215816,-7080.0,2013,12,27,7,8,28.6,3.67,1,87,77,-179,357,89,-13,311,10,43,8,1,SS
KP201401081812,47.143807,7.152629,9.236,578306,221466,-9236.0,2014,1,8,18,12,25.4,2.76,0,306,55,-155,201,70,-38,159,41,257,9,2,SS
KP201401081827,47.144654,7.153005,9.173,578335,221560,-9173.0,2014,1,8,18,27,48.8,3.19,0,280,56,-120,146,44,-53,135,65,31,6,2,NF
KP201402250052,46.244896,7.823311,5.037,629668,121568,-5037.0,2014,2,25,0,52,45.4,2.98,0,106,35,-89,285,55,-91,192,80,15,10,1,NF
KP201404172359,47.512195,8.918524,8.108,711475,263434,-8108.000000000001,2014,4,17,23,59,24.2,1.97,2,358,41,-82,167,49,-97,31,83,262,4,2,NF
KP201405100143,46.657906,7.569864,8.159,610044,167416,-8159.000000000001,2014,5,10,1,43,48.5,2.68,2,235,62,134,351,51,37,295,7,197,51,2,OT
KP201408281749,45.618198,10.633681,5.731,849194,56902,-5731.0,2014,8,28,17,49,19.6,4.07,0,90,64,150,194,63,30,142,0,52,39,9,OT
KP201410151936,46.655739,7.565927,7.981,609743,167175,-7981.0,2014,10,15,19,36,33.3,3.22,2,246,80,135,346,46,14,303,22,195,38,1,OT
KP201411081604,47.44505,8.668351,9.516,692749,255644,-9516.0,2014,11,8,16,4,22.5,2.75,0,139,87,153,231,63,3,188,16,91,21,1,SS
KP201412070826_2,47.174064,9.415112,3.866,749821,226676,-3866.0,2014,12,7,8,26,37.6,2.7,0,126,51,-149,15,66,-43,334,47,74,9,2,ON
KP201412150658,47.518011,9.162088,22.197,729805,264455,-22197.0,2014,12,15,6,58,18.3,3.27,0,121,84,-165,29,75,-6,346,15,254,6,1,SS
KP201412172304,46.773388,6.793921,22.506,550759,180449,-22506.0,2014,12,17,23,4,26.9,3.06,0,126,60,-156,23,69,-32,342,37,76,6,1,SS
KP201501170916,47.438698,7.844548,9.355,630621,254290,-9355.0,2015,1,17,9,16,53.6,2.76,2,162,22,-67,317,70,-99,213,64,54,24,1,NF
KP201501251734,46.792677,10.160112,3.891,807744,185993,-3891.0,2015,1,25,17,34,26.8,3.06,0,128,42,-128,354,58,-61,316,64,64,9,2,ON
KP201501312154,47.14479,7.151406,9.086,578214,221575,-9086.0,2015,1,31,21,54,1.9,3.14,0,140,44,-95,327,46,-85,306,86,54,1,1,NF
KP201502212223,47.879015,8.240121,23.163,659960,303478,-23163.0,2015,2,21,22,23,58.5,3.17,0,267,78,167,360,77,12,314,1,223,18,2,SS
KP201503231327,47.60369,7.802228,16.553,627343,272620,-16553.0,2015,3,23,13,27,14.6,2.52,0,302,43,-91,123,47,-89,52,88,213,2,1,NF
KP201505311854,47.660123,8.743925,4.64,698051,279646,-4640.0,2015,5,31,18,54,3.9,2.22,1,295,36,-94,120,54,-87,43,81,208,9,1,NF
KP201506201030,46.263463,7.39963,7.07,596992,123560,-7070.0,2015,6,20,10,30,22.9,3.09,1,87,85,176,177,86,5,312,1,42,6,1,SS
KP201507140159,47.614996,8.881305,11.165,708462,274810,-11165.0,2015,7,14,1,59,50.9,2.04,0,159,34,-109,2,58,-78,304,74,83,12,1,NF
KP201508151834,46.659518,7.571668,8.473,610182,167596,-8473.0,2015,8,15,18,34,16.4,2.7,2,242,77,144,341,55,16,296,14,196,34,2,OT
KP201510140013,46.333483,7.515165,3.955,605892,131346,-3955.0,2015,10,14,0,13,45.2,3.1,1,280,68,-127,164,42,-34,146,52,36,15,1,ON
KP201510260426_1,47.638559,8.907936,8.249,710415,277467,-8249.0,2015,10,26,4,26,45.6,2.37,0,135,56,-161,34,74,-36,349,36,88,12,1,SS
KP201511180810,46.33427,7.511269,3.982,605592,131433,-3982.0,2015,11,18,8,10,41.2,2.7,1,269,71,-137,162,50,-25,134,43,31,13,2,ON
KP201601011222,47.271101,7.185837,16.714,580871,235609,-16714.0,2016,1,1,12,22,41.4,2.84,0,136,86,-171,45,81,-4,1,9,270,4,1,SS
KP201601021042,46.53366,7.984611,7.528,641885,153741,-7528.0,2016,1,2,10,42,44.7,3.11,0,131,56,-103,333,36,-72,3,75,230,10,1,NF
KP201601312243,47.124728,10.087977,2.321,800993,222698,-2321.0,2016,1,31,22,43,58.8,3.54,0,108,66,174,200,85,24,332,13,67,21,1,SS
KP201603130058,46.682282,10.639299,9.612,844805,175112,-9612.0,2016,3,13,0,58,49.5,2.8,0,127,37,-82,297,53,-96,181,80,31,8,1,NF
KP201604111047,46.446594,10.011116,6.413,797637,147157,-6413.0,2016,4,11,10,47,23.5,3.17,0,291,54,-121,157,46,-55,142,65,42,4,1,ON
KP201605210349,46.263787,7.397845,6.987,596854,123596,-6987.0,2016,5,21,3,49,38.2,2.9,1,99,85,178,189,88,5,324,2,54,5,2,SS
KP201606240412,46.264254,7.393987,7.199,596557,123649,-7199.0,2016,6,24,4,12,17.2,3.22,1,278,83,-149,184,59,-8,145,27,47,16,1,ON
KP201608201942,47.201244,7.524799,0.488,606529,227815,-488.0,2016,8,20,19,42,30.9,2.23,0,299,76,155,35,66,15,349,7,255,27,1,SS
KP201610012317,46.036765,6.859269,5.484,555144,98525,-5484.0,2016,10,1,23,17,39.0,3.4,1,80,72,-155,342,66,-20,302,30,210,4,1,SS
KP201610030643,46.674182,8.49793,7.544,681053,169764,-7544.0,2016,10,3,6,43,43.8,3.25,1,110,73,-165,16,76,-18,332,22,63,2,1,SS
KP201610070727,46.53222,9.549776,12.11,761946,155614,-12110.0,2016,10,7,7,27,7.6,3.84,0,115,38,-108,317,54,-76,272,76,38,8,1,NF
KP201610241444,46.340084,7.572964,8.488,610342,132086,-8488.0,2016,10,24,14,44,11.8,4.14,1,65,54,126,194,49,51,130,3,35,61,1,OT
KP201610250142,46.338218,7.573512,8.633,610384,131879,-8633.0,2016,10,25,1,42,14.2,2.61,1,86,68,148,189,61,26,139,5,45,38,1,OT
KP201611030548,47.779456,8.787969,3.427,701131,292970,-3427.0,2016,11,3,5,48,22.2,3.01,1,137,72,-165,42,76,-19,359,23,90,3,2,SS
KP201611190053,47.779916,8.786053,3.564,700987,293018,-3564.0,2016,11,19,0,53,56.4,2.73,1,141,58,-146,31,62,-37,355,45,87,2,1,ON
KP201611251829,46.263989,7.396185,7.351,596726,123619,-7351.0,2016,11,25,18,29,2.5,2.68,1,70,61,137,184,53,37,129,5,33,50,1,OT
KP201701130613,46.674061,8.4982,7.497,681074,169751,-7497.0,2017,1,13,6,13,13.9,2.49,1,112,72,-152,13,64,-20,335,32,241,6,2,SS
KP201702181322,46.263598,7.395644,6.794,596685,123576,-6794.0,2017,2,18,13,22,28.6,2.09,1,262,88,-180,172,90,-2,127,2,217,2,2,SS
KP201703062012_1,46.91695,8.91932,2.011,712784,197269,-2011.0000000000002,2017,3,6,20,12,7.7,4.63,2,258,84,-168,167,78,-6,123,13,32,4,1,SS
KP201703062157,46.917756,8.914785,3.576,712437,197352,-3576.0,2017,3,6,21,57,32.9,2.85,2,243,86,-152,151,62,-5,111,22,14,16,1,SS
KP201703200030,46.043445,6.882397,4.894,556939,99254,-4894.0,2017,3,20,0,30,55.0,3.26,1,67,53,-159,324,73,-39,279,39,19,13,2,SS
KP201704251035,47.190887,7.448032,0.364,600713,226660,-364.0,2017,4,25,10,35,29.5,2.8,0,247,65,94,57,25,80,334,20,166,69,1,TF
KP201706021905,46.266723,7.295112,4.226,588934,123932,-4226.0,2017,6,2,19,5,13.1,3.31,0,243,67,-154,142,66,-25,103,34,13,1,1,SS
KP201706060718,46.730863,7.235101,2.135,584442,175539,-2135.0,2017,6,6,7,18,3.4,3.27,0,148,36,-84,321,54,-94,212,80,54,9,2,NF
KP201707010810,46.486128,7.095902,2.982,573683,148370,-2982.0,2017,7,1,8,10,34.2,4.25,1,293,71,-105,153,24,-53,181,61,35,25,2,NF
KP201707021053,47.40826,7.86112,10.457,631889,250913,-10457.0,2017,7,2,10,53,59.9,2.44,0,279,20,-138,149,77,-75,79,56,227,30,1,ON
KP201708052021,46.222512,7.389713,4.775,596224,119009,-4775.0,2017,8,5,20,21,10.1,2.39,0,259,66,-104,109,28,-62,144,67,359,20,1,NF
KP201709061222,46.26769,11.94573,3.917,947283,134012,-3917.0,2017,9,6,12,22,30.0,3.85,0,303,81,148,39,58,11,355,15,256,29,9,OT
KP201709200143,46.811612,9.06119,8.099,723831,185775,-8099.0,2017,9,20,1,43,49.2,2.5,0,270,35,-137,143,67,-63,91,59,213,18,2,ON
KP201711021409,46.333987,7.517501,4.141,606072,131402,-4141.0,2017,11,2,14,9,8.8,3.09,1,276,59,-139,162,56,-39,131,50,38,2,1,ON
KP201711031804,46.264433,7.39418,7.291,596572,123668,-7291.0,2017,11,3,18,4,33.1,2.79,1,278,69,-158,180,69,-22,139,30,49,0,1,SS
KP201711031815,47.1458,11.36347,8.589,897574,229094,-8589.0,2017,11,3,18,15,41.2,3.74,0,292,85,168,22,78,5,338,5,246,12,9,SS
KP201711210922,47.143912,8.542533,26.583,683731,222026,-26583.0,2017,11,21,9,22,2.0,3.34,0,311,74,-161,216,72,-17,174,25,83,2,1,SS
KP201712122228,46.199821,7.484461,5.595,603537,116486,-5595.0,2017,12,12,22,28,7.9,2.23,0,44,82,-174,313,84,-8,268,9,358,2,2,SS
KP201712151737,47.631776,9.054288,10.745,721426,276929,-10745.0,2017,12,15,17,37,5.7,2.67,0,118,66,-133,5,48,-33,340,49,238,11,1,ON
KP201801021116,46.115869,6.855143,8.319,554890,107321,-8319.0,2018,1,2,11,16,14.4,2.67,0,246,89,-152,156,62,-1,115,20,17,19,2,SS
KP201801080818,46.897274,10.084926,4.689,801615,197418,-4689.0,2018,1,8,8,18,49.4,2.7,0,101,86,138,195,48,6,156,25,49,31,2,OT
KP201801142257,46.32574,7.393398,4.156,596516,130484,-4156.0,2018,1,14,22,57,14.8,2.58,0,285,57,-131,164,51,-45,138,56,43,3,1,ON
KP201801171907,47.149196,9.998407,-1.452,794112,225191,1452.0,2018,1,17,19,7,19.1,4.14,0,117,88,-173,27,83,-2,342,6,252,4,1,SS
KP201802010147,47.155847,10.000972,0.332,794282,225937,-332.0,2018,2,1,1,47,32.8,4.07,0,305,88,-168,215,78,-2,170,10,79,7,1,SS
KP201802201918,46.551234,10.490976,8.21,834033,160103,-8210.0,2018,2,20,19,18,18.3,2.47,0,107,60,-142,356,58,-36,322,47,231,1,2,ON
KP201802221232,46.325113,7.396413,4.08,596748,130414,-4080.0,2018,2,22,12,32,39.0,1.82,0,261,62,-150,155,64,-32,117,40,208,1,2,ON
KP201802241605,46.188145,7.080973,6.4,572385,115250,-6400.0,2018,2,24,16,5,26.6,2.65,0,256,73,-156,158,67,-18,118,28,26,4,2,SS
KP201803112329,47.667872,8.01591,18.531,643360,279852,-18531.0,2018,3,11,23,29,22.9,3.06,0,317,62,-156,215,69,-30,174,36,267,5,1,SS
KP201804082150,46.463184,7.130463,4.941,576327,145808,-4941.0,2018,4,8,21,50,18.3,2.9,0,208,32,144,330,72,63,80,22,206,55,1,OT
KP201804102149,47.588073,9.10647,23.4,725451,272153,-23400.0,2018,4,10,21,49,48.8,2.32,0,294,45,-164,193,79,-46,143,40,251,21,1,SS
KP201805042136,47.758094,7.516827,16.012,605864,289728,-16012.0,2018,5,4,21,36,41.9,3.31,0,285,84,177,15,87,6,150,2,240,6,1,SS
KP201805151530,46.514821,6.881177,2.1,557218,151654,-2100.0,2018,5,15,15,30,20.4,3.1,0,134,37,-72,292,55,-103,161,76,31,9,1,NF
KP201807152212,47.63804,8.792697,9.652,701757,277253,-9652.0,2018,7,15,22,12,16.0,1.97,0,133,69,-169,39,79,-21,355,23,88,7,2,SS
KP201807202220,45.989343,7.846975,8.956,631641,93169,-8956.0,2018,7,20,22,20,35.4,2.6,0,277,35,-100,109,56,-83,44,78,194,10,1,NF
KP201808160945,46.828421,10.094379,4.227,802594,189793,-4227.0,2018,8,16,9,45,10.6,2.84,0,303,48,-97,134,43,-82,154,84,38,3,2,NF
KP201808230009,46.188194,7.080967,6.409,572385,115256,-6409.0,2018,8,23,0,9,9.8,3.15,0,256,71,-159,159,70,-20,118,28,27,1,1,SS
KP201808301227,46.915229,8.921582,3.508,712960,197081,-3508.0,2018,8,30,12,27,40.5,2.83,0,266,86,-174,176,84,-4,131,7,41,2,2,SS
KP201809160353,46.225642,7.348572,6.54,593050,119359,-6540.0,2018,9,16,3,53,8.9,0.92,0,84,90,148,174,58,0,134,22,34,22,2,OT
KP201810140425,46.266106,7.838063,3.67,630794,123931,-3670.0,2018,10,14,4,25,26.8,2.33,0,85,43,-108,289,50,-74,262,77,8,3,1,NF
KP201811030020,46.084683,7.078581,9.533,572147,103750,-9533.0,2018,11,3,0,20,6.3,2.88,0,284,46,-105,124,46,-75,113,79,204,0,1,NF
KP201811230052,46.263586,7.399579,6.994,596988,123574,-6994.0,2018,11,23,0,52,8.4,2.49,2,189,64,-2,280,88,-154,148,20,52,17,1,SS
KP201811302302,47.534144,7.844399,17.644,630555,264903,-17644.0,2018,11,30,23,2,6.8,2.0,0,308,75,-157,212,68,-16,171,27,79,5,2,SS
